"Denmark"
"Life expectancy at birth (years)","80.8"
"Adult mortality rate, female (per 1,000 people)","52"
"Adult mortality rate, male (per 1,000 people)","82"
" Age-standardized mortality rates attributed to noncommunicable diseases, female ","300.6"
" Age-standardized mortality rates attributed to noncommunicable diseases, male ","421.6"
"Child malnutrition, stunting (moderate or severe) (% under age 5)","n.a."
"Current health expenditure (% of GDP)","10.4"
"Life expectancy at birth, female (years)","82.8"
"Life expectancy at birth, male (years)","78.8"
"Life expectancy index","0.935"
"HIV prevalence, adult (% ages 15-49)","0.1"
"Mortality rate, infant (per 1,000 live births)","3.7"
"Infants lacking immunization, DPT (% of one-year-olds)","3"
"Infants lacking immunization, measles (% of one-year-olds)","5"
"Malaria incidence (per 1,000 people at risk)","n.a."
"Tuberculosis incidence (per 100,000 people)","5.1"
"Mortality rate, under-five (per 1,000 live births)","4.3"
"Expected years of schooling (years)","19.1"
"Education index","0.920"
"Expected years of schooling, female (years)","19.8"
"Expected years of schooling, male (years)","18.4"
"Government expenditure on education (% of GDP)","7.6"
"Gross enrolment ratio, pre-primary (% of preschool-age children)","96"
"Gross enrolment ratio, primary (% of primary school-age population)","102"
"Gross enrolment ratio, secondary (% of secondary school-age population)","129"
"Gross enrolment ratio, tertiary (% of tertiary school-age population)","81"
"Literacy rate, adult (% ages 15 and older)","n.a."
"Mean years of schooling (years)","12.6"
"Mean years of schooling, female (years)","12.7"
"Mean years of schooling, male (years)","12.4"
" Percentage of primary schools with access to the internet ","100"
" Percentage of secondary schools with access to the internet ","100"
"Population with at least some secondary education (% ages 25 and older)","89.3"
"Population with at least some secondary education, female (% ages 25 and older)","89.2"
"Population with at least some secondary education, male (% ages 25 and older)","89.4"
"Primary school dropout rate (% of primary school cohort)","0.2"
"Primary school teachers trained to teach (%)","n.a."
"Programme for International Student Assessment (PISA) score in mathematics","511"
"Programme for International Student Assessment (PISA) score in reading","500"
"Programme for International Student Assessment (PISA) score in science","502"
"Pupil-teacher ratio, primary school (number of pupils per teacher)","11"
"Survival rate to the last grade of lower secondary general education (%)","100"
"Gross national income (GNI) per capita (2011 PPP $)","48,836"
"Domestic credit provided by financial sector (% of GDP)","200.6"
"Gross domestic product (GDP) per capita (2011 PPP $)","47,673"
"Gross domestic product (GDP), total (2011 PPP $ billions)","276.4"
"Gross fixed capital formation (% of GDP)","22.2"
"Income index","0.935"
" Labour share of GDP, comprising wages and social protection transfers (%) ","55.9"
"Inequality-adjusted HDI (IHDI)","0.873"
"Coefficient of human inequality","6.0"
"Income inequality, Gini coefficient","28.2"
"Income inequality, Palma ratio","1.0"
"Income inequality, quintile ratio","4.0"
"Income share held by poorest 40% ","23.3"
" Income share held by richest 1% ","12.8"
" Income share held by richest 10 % ","23.8"
"Inequality in education (%)","3.0"
"Inequality in income (%)","11.4"
"Inequality in life expectancy (%)","3.6"
"Inequality-adjusted education index","0.892"
"Inequality-adjusted income index","0.829"
"Inequality-adjusted life expectancy index","0.901"
"Overall loss in HDI due to inequality (%)","6.1"
"Gender Development Index (GDI)","0.980"
"Adolescent birth rate (births per 1,000 women ages 15-19)","4.1"
"Antenatal care coverage, at least one visit (%)","n.a."
"Child marriage, women married by age 18 (% of women ages 20–24 years who are married or in union)
"
"n.a."
"Contraceptive prevalence, any method (% of married or in-union women of reproductive age, 15–49 years)","n.a."
"Estimated gross national income per capita, female (2011 PPP $)","41,027"
"Estimated gross national income per capita, male (2011 PPP $)","56,731"
"Female share of employment in senior and middle management (%)","27.0"
"Female shares of graduates in science, technology, engineering and mathematics programmes at tertiary level (%)","12.7"
"Gender Inequality Index (GII)","0.040"
"Human Development Index (HDI), female","0.920"
"Human Development Index (HDI), male","0.938"
"Mandatory paid maternity leave (days)","126"
"Maternal mortality ratio (deaths per 100,000 live births)","6"
" Prevalence of female genital mutilation/cutting among girls and women (% of girls and young women ages 15–49) ","n.a."
"Proportion of births attended by skilled health personnel (%)","94.7"
"Share of employment in nonagriculture, female (% of total employment in nonagriculture)","47.9"
" Share of graduates from science, technology, engineering and mathematics programmes in tertiary education who are female (%) ","34.2"
" Share of graduates from STEM programmes in tertiary education who are male (%) ","65.8"
"Share of seats in parliament (% held by women)","37.4"
"Total unemployment rate (female to male ratio)","1.08"
"Unmet need for family planning (% of married or in-union women of reproductive age, 15–49 years)","n.a."
"Violence against women ever experienced, intimate partner (% of female population ages 15 and older)","32.0"
"Violence against women ever experienced, nonintimate partner (% of female population ages 15 and older)","11.0"
"Women with account at financial institution or with mobile money-service provider (% of female population ages 15 and older)","100.0"
"Youth unemployment rate (female to male ratio)","0.76"
"Population in multidimensional poverty, headcount (%)","n.a."
" Contribution of deprivation in education to the Multidimensional Poverty Index ","n.a."
" Contribution of deprivation in health to the Multidimensional Poverty Index ","n.a."
" Contribution of deprivation in standard of living to the Multidimensional Poverty Index ","n.a."
"Multidimensional Poverty Index (MPI)","n.a."
"Population in multidimensional poverty, headcount (thousands) (for the year of survey)","n.a."
"Population in multidimensional poverty, headcount (thousands) (projection for 2017)","n.a."
"Population in multidimensional poverty, intensity of deprivation (%)","n.a."
"Population in severe multidimensional poverty (%)","n.a."
"Population living below income poverty line, PPP $1.90 a day (%)","0.2"
" Population living below income poverty line, national poverty line (%) ","n.a."
"Population vulnerable to multidimensional poverty (%)","n.a."
"Working poor at PPP$3.10 a day (% of total employment)","n.a."
"Employment to population ratio (% ages 15 and older)","58.9"
"Child labour (% ages 5-17)","n.a."
"Employment in agriculture (% of total employment)","2.2"
"Employment in services (% of total employment)","79.2"
"Labour force participation rate (% ages 15 and older)","62.0"
"Labour force participation rate (% ages 15 and older), female","58.1"
"Labour force participation rate (% ages 15 and older), male","65.9"
"Old-age pension recipients (% of statutory pension age population)","99.2"
"Unemployment, total (% of labour force)","5.0"
" Proportion of informal employment in nonagricultural employment (% of total employment in non-agriculture) ","n.a."
"Unemployment, youth (% ages 15–24)","9.2"
"Vulnerable employment (% of total employment)","5.1"
"Youth not in school or employment (% ages 15-24)","6.8"
"Homicide rate (per 100,000 people)","1.2"
"Birth registration (% under age 5)","100"
"Homeless people due to natural disaster (average annual per million people)","0"
"Prison population (per 100,000 people)","63"
"Refugees by country of origin (thousands)","0.0"
"Suicide rate, female (per 100,000 people)","5.2"
"Suicide rate, male (per 100,000 people)","13.2"
"Exports and imports (% of GDP)","104.0"
"Foreign direct investment, net inflows (% of GDP)","1.5"
"Net official development assistance received (% of GNI)","n.a."
"Private capital flows (% of GDP)","12.9"
"Remittances, inflows (% of GDP)","0.39"
"Internet users, total (% of population)","97.6"
"International inbound tourists (thousands)","11,743"
"International student mobility (% of total tertiary enrolment)","9.2"
"Internet users, female (% of female population)","97.5"
"Mobile phone subscriptions (per 100 people)","125.1"
"Net migration rate (per 1,000 people)","2.6"
" Carbon dioxide emissions, per capita (tonnes) ","5.9"
" Carbon dioxide emissions (kg per 2010 US$ of GDP) ","0.13"
"Forest area (% of total land area)","14.7"
" Degraded land (% of total land area) ","n.a."
"Forest area, change (%)","14.7"
"Fossil fuel energy consumption (% of total energy consumption)","64.9"
"Fresh water withdrawals (% of total renewable water resources)","10.6"
"Mortality rate attributed to household and ambient air pollution (per 100,000 population)","13.0"
"Mortality rate attributed to unsafe water, sanitation and hygiene services (per 100,000 population)
","0.3"
" Natural resource depletion (% of GNI) ","0.4"
"Red List Index (value)","0.972"
"Renewable energy consumption (% of total final energy consumption)","33.2"
"Total population (millions)","5.8"
"Median age (years)","42.3"
"Old-age (65 and older) dependency ratio (per 100 people ages 15-64)","31.1"
"Population ages 15–64 (millions)","3.7"
"Population ages 65 and older (millions)","1.1"
"Population under age 5 (millions)","0.3"
"Sex ratio at birth (male to female births)","1.06"
"Urban population (%)","87.9"
"Young age (0-14) dependency ratio (per 100 people ages 15-64)","25.8"
"Skilled labour force (% of labour force)","78.7"
"Adjusted net savings (% of GNI)","18.3"
" Average annual change in the share of bottom 40% (%) ","-0.5"
"Concentration index (exports) (value)","0.096"
"Gross capital formation (% of GDP)","22.7"
"Overall loss in HDI value due to inequality, average annual change (%)","-0.7"
"Population using improved drinking-water sources (%)","100.0"
"Population using improved sanitation facilities (%)","100.0"
"Ratio of education and health expenditure to military expenditure","15.5"
"Research and development expenditure (% of GDP)","2.9"
"Rural population with access to electricity (%)","100.0"
"Total debt service (% of exports of goods, services and primary income)","n.a."
