"Sweden"
"Life expectancy at birth (years)","82.7"
"Adult mortality rate, female (per 1,000 people)","40"
"Adult mortality rate, male (per 1,000 people)","64"
" Age-standardized mortality rates attributed to noncommunicable diseases, female ","273.4"
" Age-standardized mortality rates attributed to noncommunicable diseases, male ","369.8"
"Child malnutrition, stunting (moderate or severe) (% under age 5)","n.a."
"Current health expenditure (% of GDP)","10.9"
"Life expectancy at birth, female (years)","84.4"
"Life expectancy at birth, male (years)","80.9"
"Life expectancy index","0.964"
"HIV prevalence, adult (% ages 15-49)","n.a."
"Mortality rate, infant (per 1,000 live births)","2.3"
"Infants lacking immunization, DPT (% of one-year-olds)","1"
"Infants lacking immunization, measles (% of one-year-olds)","3"
"Malaria incidence (per 1,000 people at risk)","n.a."
"Tuberculosis incidence (per 100,000 people)","5.7"
"Mortality rate, under-five (per 1,000 live births)","2.8"
"Expected years of schooling (years)","18.8"
"Education index","0.914"
"Expected years of schooling, female (years)","19.6"
"Expected years of schooling, male (years)","18.0"
"Government expenditure on education (% of GDP)","7.6"
"Gross enrolment ratio, pre-primary (% of preschool-age children)","94"
"Gross enrolment ratio, primary (% of primary school-age population)","125"
"Gross enrolment ratio, secondary (% of secondary school-age population)","145"
"Gross enrolment ratio, tertiary (% of tertiary school-age population)","64"
"Literacy rate, adult (% ages 15 and older)","n.a."
"Mean years of schooling (years)","12.4"
"Mean years of schooling, female (years)","12.5"
"Mean years of schooling, male (years)","12.3"
" Percentage of primary schools with access to the internet ","n.a."
" Percentage of secondary schools with access to the internet ","n.a."
"Population with at least some secondary education (% ages 25 and older)","88.9"
"Population with at least some secondary education, female (% ages 25 and older)","88.8"
"Population with at least some secondary education, male (% ages 25 and older)","89.0"
"Primary school dropout rate (% of primary school cohort)","0.4"
"Primary school teachers trained to teach (%)","n.a."
"Programme for International Student Assessment (PISA) score in mathematics","494"
"Programme for International Student Assessment (PISA) score in reading","500"
"Programme for International Student Assessment (PISA) score in science","493"
"Pupil-teacher ratio, primary school (number of pupils per teacher)","12"
"Survival rate to the last grade of lower secondary general education (%)","99"
"Gross national income (GNI) per capita (2011 PPP $)","47,955"
"Domestic credit provided by financial sector (% of GDP)","154.7"
"Gross domestic product (GDP) per capita (2011 PPP $)","47,194"
"Gross domestic product (GDP), total (2011 PPP $ billions)","480.6"
"Gross fixed capital formation (% of GDP)","25.5"
"Income index","0.932"
" Labour share of GDP, comprising wages and social protection transfers (%) ","49.5"
"Inequality-adjusted HDI (IHDI)","0.874"
"Coefficient of human inequality","6.6"
"Income inequality, Gini coefficient","29.2"
"Income inequality, Palma ratio","1.0"
"Income inequality, quintile ratio","4.6"
"Income share held by poorest 40% ","22.1"
" Income share held by richest 1% ","8.3"
" Income share held by richest 10 % ","22.9"
"Inequality in education (%)","3.8"
"Inequality in income (%)","13.0"
"Inequality in life expectancy (%)","2.9"
"Inequality-adjusted education index","0.880"
"Inequality-adjusted income index","0.811"
"Inequality-adjusted life expectancy index","0.936"
"Overall loss in HDI due to inequality (%)","6.7"
"Gender Development Index (GDI)","0.982"
"Adolescent birth rate (births per 1,000 women ages 15-19)","5.1"
"Antenatal care coverage, at least one visit (%)","n.a."
"Child marriage, women married by age 18 (% of women ages 20–24 years who are married or in union)
"
"n.a."
"Contraceptive prevalence, any method (% of married or in-union women of reproductive age, 15–49 years)","n.a."
"Estimated gross national income per capita, female (2011 PPP $)","41,923"
"Estimated gross national income per capita, male (2011 PPP $)","53,975"
"Female share of employment in senior and middle management (%)","39.4"
"Female shares of graduates in science, technology, engineering and mathematics programmes at tertiary level (%)","15.0"
"Gender Inequality Index (GII)","0.040"
"Human Development Index (HDI), female","0.928"
"Human Development Index (HDI), male","0.945"
"Mandatory paid maternity leave (days)","n.a."
"Maternal mortality ratio (deaths per 100,000 live births)","4"
" Prevalence of female genital mutilation/cutting among girls and women (% of girls and young women ages 15–49) ","n.a."
"Proportion of births attended by skilled health personnel (%)","n.a."
"Share of employment in nonagriculture, female (% of total employment in nonagriculture)","48.2"
" Share of graduates from science, technology, engineering and mathematics programmes in tertiary education who are female (%) ","35.2"
" Share of graduates from STEM programmes in tertiary education who are male (%) ","64.8"
"Share of seats in parliament (% held by women)","46.1"
"Total unemployment rate (female to male ratio)","0.90"
